Table 1,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50
Topic 1 ,referred,member,group,board,concerned,provide,competent,accordance,employed,article,paragraph,contract,period,time,respect,general,amount ,subject,conditions,person,apply,court,case,office,information,account,credit,institution,national,social,capital,management,security,assets,company,state,insurance,legal,rights,directive,undertakings,law,tax,legislation ,provisions,service,benefits,employment,employees,workers
Topic 2,problems,community,commission,national,world,situation,account,year,aid,high,balance,coal,period,states,result,system,product,monetary,terms,measures,policy,country,total,million,average,level,development,agricultural,trade,energy,oil,production,rate,reduction,increased,rise,increase,costs,investment,economic,growth,industry,sector,market,price,supply,demand,consumption,exports,imports
Topic 3 ,obtained,2013-12-31T00:00:00Z,european,description,community,annex,listed,heading,preparations,part,prepared,similar,agreement,republic,falling,added,protocol,including,exceeding,rate,excluding,fresh,originating,articles,duty,customs,kind,content,weight,apparatus,tariff,machines,motor,paper,product,products,manufacture,goods,fruit,material,oils,sugar,acid,coated,glass,metal,iron,wood,steel,hellenic
Topic 4,made ,european,member,number,field,problems,action,training,level,working,general,workers,system,states,support,information,data,technical,specific,objectives,measures,countries,industry,international,developing,national,public,policy,committee,commission,council,regional,cooperation,areas,industrial,services,employment,social,economic,community,activities,work,development,projects,project,research,studies,study,programmes,programme
Topic 5 ,laid ,provided,products,common,referred,eec,member,community,trade,european,2014-05-31T00:00:00Z,2013-12-31T00:00:00Z,2014-06-30T00:00:00Z,2014-11-30T00:00:00Z,period,establishing,force,respect,relating,accordance,countries,economic,conditions,annex,state,states,paragraph,article,opinion,regard,apply,adopted,accession,application,draft,regulation,procedure,arrangements,measures,amended,council,committee,commission,decision,treaty,agreement,proposal,provisions,directive,rules
Topic 6 ,notes ,member,description,signature,european,form,date,number ,certificate,address,place,office,duties,issuing,issue,means,movement,territory,road,air,states,state,communities,provisions,treaty,authorities,navigation,carriage,international,commercial,country,origin,products,processing,destination,vehicles,traffic,commerce,airport,railway,transit,transport,port,tariff,customs,goods,consignment,exporter,exported,import
Topic 7,european,ecu,entered ,2014-11-30T00:00:00Z,eec,made,regulation,chapter,section,article,draft,cover,item,granted,general,years,year,decision,staff,council,basis,commission,commitment,measures,account,total,operations,commitments,amounts,amount,resources,projects,million,assistance,aid,financial,loans,financing,fund,payment,payments,revenue,expenditure,budget,appropriations,appropriation,programme,eca,u.a,ecsc
Topic 8,made ,year ,including,girls ,annex,community,article,authorities,accordance,subject,limits,outer,bangladesh,european,india,quantitative,category,categories,protocol,agreement,arrangement,articles,provisions,republic,originating,synthetic,country,elastic,economic,countries,quotas,trade,products,import,goods,imports,export,exports,crocheted,knitted,woven,yarn,cotton,fabric,fabrics,garments,textile,textiles,fibres,fibre
Topic 9,member ,carried,number,annex,reference,point,case,order,states,directive,production,control,means,type,state,protection,technical,project,research,health,information,safety,test,tests,inspection,data,system,standards,requirements,conditions,methods,environment,substances ,storage,equipment,construction,material,materials,plant,pollution,waste,water,power,reactor,uranium,nuclear,energy,fuel,gas,programme
Topic 10,2014-06-30T00:00:00Z,member,referred,european,year,eec,article,common,provided ,marketing,organization,community,council,account,compensatory,intervention,aid,accordance,amended,regard,states,commission,rules,regulation,system,fixing,fixed,applicable,measures,levy,quality,production,amounts,amount,quantity,market,products,price,prices,butter,wine,export,agricultural,beef,meat,milk,cereals,sugar,rice,wheat
Topic 11,european,acp,made,referred,agent,recipient,task,delivery,form,provided,date,article,paragraph,tons,part,participants,information,accordance,exchange,annex,protocol,costs,contracting,supply,food,operating,executive,aid,agreed,agreement,convention,force,united,international,cooperation,agency,party,parties,republic,economic,states,countries,country,communities,community,republic ,government,council,commission,committee
Topic 12 ,subheading ,opened,european,falling,member,charged ,metric,drawn,draw,article,question,kingdom,regulation,concerned,community,informed,inform,reserve,council,originating,products,common,initial,shares,share,pursuant,period,volume,extent,account,regard,equal,ensure,economic,states,state,administration,commission,additional,order,amount,allocated ,duties,duty,customs,tariff,imports,tons,tonnes,quota
Topic 13,date,denmark,netherlands,ireland,france,italy,united,number ,survey,catch,catches,total,stock,stocks,holdings ,income,subsidy,department,project,kingdom,vessel,vessels,zone,state,regional,sea,waters,conservation,species,fish,fishing,fishery,fisheries,land,farm,agriculture,agricultural,farming,farms,regions,region,areas,area,northern,north,south,west ,east,labour,luxembourg
Topic 14,stand,importations,opening,directions ,community,pinot,ton ,land,energy,council,regulation,open,public,economic,atomic,historical ,die,classified,declassified,documents,archives,file,amended,article,journal,eec,dispositions,aforementioned,conformity,accordance,iii,rales,european,2014-01-31T00:00:00Z,2014-11-30T00:00:00Z,des,ander,artikel,andere,der,und,erratum,duitsland,nederland ,luxemburg,paragraphe,totales,belgië,italië,heffing
